项目名称,星标数量,链接
YaLM-100B,3570,https://github.com/yandex/YaLM-100B
GET3D,3570,https://github.com/nv-tlabs/GET3D
twitter-scraper,3569,https://github.com/bisguzar/twitter-scraper
Awesome-PyTorch-Chinese,3536,https://github.com/INTERMT/Awesome-PyTorch-Chinese
sync-engine,3513,https://github.com/nylas/sync-engine
django-haystack,3431,https://github.com/django-haystack/django-haystack
mythril,3429,https://github.com/ConsenSys/mythril
openshot-qt,3416,https://github.com/OpenShot/openshot-qt
viztracer,3369,https://github.com/gaogaotiantian/viztracer
ByteTrack,3368,https://github.com/ifzhang/ByteTrack
wikiextractor,3349,https://github.com/attardi/wikiextractor
asciimatics,3342,https://github.com/peterbrittain/asciimatics
TikTok-Api,3327,https://github.com/davidteather/TikTok-Api
pytorch-semseg,3315,https://github.com/meetps/pytorch-semseg
text,3311,https://github.com/pytorch/text
confluent-kafka-python,3292,https://github.com/confluentinc/confluent-kafka-python
flasgger,3291,https://github.com/flasgger/flasgger
gpt-2-simple,3290,https://github.com/minimaxir/gpt-2-simple
flask_jsondash,3277,https://github.com/christabor/flask_jsondash
chatbot,3259,https://github.com/zhaoyingjun/chatbot
log4j-scan,3256,https://github.com/fullhunt/log4j-scan
model_search,3240,https://github.com/google/model_search
headphones,3234,https://github.com/rembo10/headphones
stargan-v2,3229,https://github.com/clovaai/stargan-v2
glide-text2im,3222,https://github.com/openai/glide-text2im
patator,3218,https://github.com/lanjelot/patator
pytorch-a2c-ppo-acktr-gail,3216,https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail
Auto-GPT-Plugins,3160,https://github.com/Significant-Gravitas/Auto-GPT-Plugins
dot,3155,https://github.com/sensity-ai/dot
catalyst,3138,https://github.com/catalyst-team/catalyst
acme,3128,https://github.com/deepmind/acme
videogrep,3120,https://github.com/antiboredom/videogrep
albert,3115,https://github.com/google-research/albert
football,3106,https://github.com/google-research/football
TikTokDownload,3092,https://github.com/Johnserf-Seed/TikTokDownload
outrun,3090,https://github.com/Overv/outrun
ShadowSocksShare,3076,https://github.com/the0demiurge/ShadowSocksShare
coding-problems,3062,https://github.com/MTrajK/coding-problems
LinkFinder,3044,https://github.com/GerbenJavado/LinkFinder
qiskit-terra,3641,https://github.com/Qiskit/qiskit-terra
open_model_zoo,3639,https://github.com/openvinotoolkit/open_model_zoo
pywebview,3602,https://github.com/r0x0r/pywebview
tensorflow-windows-wheel,3601,https://github.com/fo40225/tensorflow-windows-wheel
molecule,3599,https://github.com/ansible-community/molecule
line_profiler,3598,https://github.com/rkern/line_profiler
JdBuyer,3561,https://github.com/zas023/JdBuyer
wave,3547,https://github.com/h2oai/wave
CleanMyWechat,3519,https://github.com/blackboxo/CleanMyWechat
gmvault,3510,https://github.com/gaubert/gmvault
PRET,3500,https://github.com/RUB-NDS/PRET
aws-sdk-pandas,3492,https://github.com/aws/aws-sdk-pandas
nevergrad,3449,https://github.com/facebookresearch/nevergrad
whisperX,3445,https://github.com/m-bain/whisperX
keyboard,3428,https://github.com/boppreh/keyboard
gpustat,3419,https://github.com/wookayin/gpustat
coremltools,3418,https://github.com/apple/coremltools
py-googletrans,3418,https://github.com/ssut/py-googletrans
motioneye,3411,https://github.com/motioneye-project/motioneye
algorithm-exercise,3399,https://github.com/billryan/algorithm-exercise
transformer-xl,3397,https://github.com/kimiyoung/transformer-xl
python-twitter,3392,https://github.com/bear/python-twitter
wal-e,3386,https://github.com/wal-e/wal-e
TBomb,3374,https://github.com/TheSpeedX/TBomb
Instagram-,3370,https://github.com/Bitwise-01/Instagram-
flocker,3368,https://github.com/ClusterHQ/flocker
chartify,3349,https://github.com/spotify/chartify
Efficient-AI-Backbones,3328,https://github.com/huawei-noah/Efficient-AI-Backbones
pyqtgraph,3280,https://github.com/pyqtgraph/pyqtgraph
Crunch,3268,https://github.com/chrissimpkins/Crunch
markdown,3265,https://github.com/Python-Markdown/markdown
websocket-client,3251,https://github.com/websocket-client/websocket-client
skulpt,3246,https://github.com/skulpt/skulpt
fcn.berkeleyvision.org,3234,https://github.com/shelhamer/fcn.berkeleyvision.org
Minecraft-Overviewer,3231,https://github.com/overviewer/Minecraft-Overviewer
kubernetes-workshop,3213,https://github.com/eon01/kubernetes-workshop
pipfile,3195,https://github.com/pypa/pipfile
PyTorch-StudioGAN,3190,https://github.com/POSTECH-CVLab/PyTorch-StudioGAN
python-uncompyle6,3185,https://github.com/rocky/python-uncompyle6
colorama,3172,https://github.com/tartley/colorama
reinforcement-learning,3171,https://github.com/rlcode/reinforcement-learning
fiftyone,3159,https://github.com/voxel51/fiftyone
researchgpt,3152,https://github.com/mukulpatnaik/researchgpt
adminset,3136,https://github.com/guohongze/adminset
textdistance,3127,https://github.com/life4/textdistance
Real_Time_Image_Animation,3120,https://github.com/anandpawara/Real_Time_Image_Animation
pomegranate,3117,https://github.com/jmschrei/pomegranate
v2ex-gae,3105,https://github.com/livid/v2ex-gae
ansible-lint,3100,https://github.com/ansible/ansible-lint
xbmc-addons-chinese,3095,https://github.com/taxigps/xbmc-addons-chinese
PhotoGIMP,3094,https://github.com/Diolinux/PhotoGIMP
lda2vec,3091,https://github.com/cemoody/lda2vec
simpledet,3058,https://github.com/tusen-ai/simpledet
osx-gcc-installer,3053,https://github.com/not-kennethreitz/osx-gcc-installer
WeiboSpider,3052,https://github.com/nghuyong/WeiboSpider
Cobra,3028,https://github.com/FeeiCN/Cobra
generative_inpainting,3022,https://github.com/JiahuiYu/generative_inpainting
deepfakes_faceswap,3018,https://github.com/joshua-wu/deepfakes_faceswap
django-shop,3009,https://github.com/awesto/django-shop
vim-orgmode,3001,https://github.com/jceb/vim-orgmode
pyppeteer,2997,https://github.com/pyppeteer/pyppeteer
Merlion,2994,https://github.com/salesforce/Merlion
Gerapy,2994,https://github.com/Gerapy/Gerapy
neural_prophet,2984,https://github.com/ourownstory/neural_prophet
consoleme,2980,https://github.com/Netflix/consoleme
kb,2979,https://github.com/gnebbia/kb
